Actual Total Load;Date;Hour
18099,675;20220701;1
17380,988;20220701;2
16981,163;20220701;3
16783,225;20220701;4
16507;20220701;5
16890,525;20220701;6
19271,863;20220701;7
21465,338;20220701;8
22743,4;20220701;9
23094,85;20220701;10
23166,275;20220701;11
23472,55;20220701;12
23513,788;20220701;13
23273,9;20220701;14
22968,575;20220701;15
22947,975;20220701;16
23055,9;20220701;17
22384,238;20220701;18
22019,763;20220701;19
22159,325;20220701;20
21763,863;20220701;21
21147,263;20220701;22
20093,775;20220701;23
18583,613;20220701;24
17336,85;20220702;1
16674,138;20220702;2
16306,925;20220702;3
16130,475;20220702;4
15703,888;20220702;5
15479,475;20220702;6
16293,988;20220702;7
17196,613;20220702;8
18166,988;20220702;9
18973,513;20220702;10
19278,613;20220702;11
19422,888;20220702;12
19251,988;20220702;13
19016,613;20220702;14
18621,963;20220702;15
18391,35;20220702;16
18132,875;20220702;17
17976,463;20220702;18
18011,963;20220702;19
17963,35;20220702;20
17836,263;20220702;21
17769,563;20220702;22
17390,038;20220702;23
16228,225;20220702;24
15240,888;20220703;1
14488,65;20220703;2
14079,563;20220703;3
13753,15;20220703;4
13322,875;20220703;5
13035,925;20220703;6
13477,238;20220703;7
14377,438;20220703;8
15323,563;20220703;9
16074,85;20220703;10
16232,738;20220703;11
16381,2;20220703;12
16212,738;20220703;13
16164,088;20220703;14
16264,388;20220703;15
16149,25;20220703;16
16176,063;20220703;17
16569,688;20220703;18
16941,275;20220703;19
17112,113;20220703;20
17405,763;20220703;21
17676,288;20220703;22
17533,563;20220703;23
16238,363;20220703;24
15091,25;20220704;1
14643,838;20220704;2
14412,2;20220704;3
14303,65;20220704;4
14220,338;20220704;5
14914,463;20220704;6
17766,45;20220704;7
20170,263;20220704;8
21511,663;20220704;9
21921,538;20220704;10
21957,538;20220704;11
22265,713;20220704;12
22416,813;20220704;13
22598,888;20220704;14
22133,05;20220704;15
22094,9;20220704;16
21942,325;20220704;17
21763,288;20220704;18
21407,188;20220704;19
21666,55;20220704;20
21644,85;20220704;21
21235,363;20220704;22
20244,763;20220704;23
18775,825;20220704;24
17559,963;20220705;1
16784,025;20220705;2
16359,925;20220705;3
16306,613;20220705;4
16119,363;20220705;5
16486,988;20220705;6
18784,038;20220705;7
20578,238;20220705;8
21633,838;20220705;9
22165,625;20220705;10
22219,65;20220705;11
22647,05;20220705;12
22778,238;20220705;13
22461,875;20220705;14
22305,375;20220705;15
22306,925;20220705;16
21931,775;20220705;17
21597,725;20220705;18
21291,588;20220705;19
21443,413;20220705;20
21446,925;20220705;21
20909,425;20220705;22
19859,4;20220705;23
18612,888;20220705;24
17442,013;20220706;1
16644,588;20220706;2
16292,575;20220706;3
16214,125;20220706;4
16020,675;20220706;5
16366,125;20220706;6
18446,888;20220706;7
20180,913;20220706;8
21079,138;20220706;9
21185,838;20220706;10
21192,675;20220706;11
21578,375;20220706;12
21726,588;20220706;13
21775,3;20220706;14
21293,788;20220706;15
21492,05;20220706;16
21432,138;20220706;17
21171,088;20220706;18
20627,138;20220706;19
20745,038;20220706;20
20883,763;20220706;21
20644,625;20220706;22
19627,738;20220706;23
18211,1;20220706;24
16930,088;20220707;1
16268,325;20220707;2
15852,775;20220707;3
15805,138;20220707;4
15550,075;20220707;5
15904,425;20220707;6
17996,6;20220707;7
19836,85;20220707;8
20651,9;20220707;9
21013,388;20220707;10
21100,863;20220707;11
21858,5;20220707;12
21813,525;20220707;13
21700,35;20220707;14
21229,35;20220707;15
21597,563;20220707;16
21351,95;20220707;17
21001,675;20220707;18
21002,063;20220707;19
21243,725;20220707;20
21129,6;20220707;21
20845,488;20220707;22
19734,613;20220707;23
18352,425;20220707;24
17103;20220708;1
16548,888;20220708;2
16191,713;20220708;3
16181,175;20220708;4
16042,35;20220708;5
16319,025;20220708;6
18382,075;20220708;7
20309,9;20220708;8
21418,938;20220708;9
21709,725;20220708;10
21866,675;20220708;11
21947,963;20220708;12
22361,225;20220708;13
21608,363;20220708;14
21336,65;20220708;15
21354,525;20220708;16
21103,675;20220708;17
20979,788;20220708;18
20785,013;20220708;19
20789,975;20220708;20
20634,913;20220708;21
20115,813;20220708;22
19057,638;20220708;23
17837,788;20220708;24
16665,688;20220709;1
15962,625;20220709;2
15590,275;20220709;3
15435,575;20220709;4
15000,4;20220709;5
14716,613;20220709;6
15618,463;20220709;7
16814,913;20220709;8
17798,925;20220709;9
18516,85;20220709;10
18589,688;20220709;11
18707,888;20220709;12
18577,975;20220709;13
18487,138;20220709;14
17953,75;20220709;15
17941,1;20220709;16
18045,9;20220709;17
17776,163;20220709;18
17630,875;20220709;19
17629,3;20220709;20
17661,238;20220709;21
17618,775;20220709;22
17023,45;20220709;23
15825,588;20220709;24
14755,838;20220710;1
14063,525;20220710;2
13687,488;20220710;3
13350,2;20220710;4
13030,863;20220710;5
12797,225;20220710;6
13177,188;20220710;7
13856,763;20220710;8
14577,163;20220710;9
15438;20220710;10
16035,35;20220710;11
16409,388;20220710;12
16217,313;20220710;13
16237,95;20220710;14
15583,675;20220710;15
15321,813;20220710;16
15663,7;20220710;17
15995,813;20220710;18
16293,375;20220710;19
16426,4;20220710;20
16573,45;20220710;21
16680,913;20220710;22
16446,463;20220710;23
15349,35;20220710;24
14554,125;20220711;1
14002,85;20220711;2
13774,963;20220711;3
13707;20220711;4
13764,513;20220711;5
14346,925;20220711;6
17080;20220711;7
19358,313;20220711;8
20494,413;20220711;9
20913,938;20220711;10
20781,763;20220711;11
20965,05;20220711;12
21685,675;20220711;13
21155,813;20220711;14
20711,275;20220711;15
20692,663;20220711;16
20305,238;20220711;17
20703,05;20220711;18
20562,975;20220711;19
20696,375;20220711;20
20644,675;20220711;21
20394,788;20220711;22
19277,838;20220711;23
17751,875;20220711;24
16535,413;20220712;1
15867,6;20220712;2
15496,138;20220712;3
15494,238;20220712;4
15360,238;20220712;5
15684,913;20220712;6
17919,2;20220712;7
19896,188;20220712;8
20770,05;20220712;9
21157,125;20220712;10
21000,563;20220712;11
21238,15;20220712;12
21364,613;20220712;13
21011,825;20220712;14
20707,15;20220712;15
20689,663;20220712;16
21059,763;20220712;17
20473,9;20220712;18
20283,788;20220712;19
20605,463;20220712;20
20873,588;20220712;21
20592,85;20220712;22
19293,563;20220712;23
17810,775;20220712;24
16754,975;20220713;1
16134,25;20220713;2
15709,275;20220713;3
15733,425;20220713;4
15666,275;20220713;5
15839,263;20220713;6
17959,613;20220713;7
19913,488;20220713;8
20926,788;20220713;9
21192,788;20220713;10
20898,888;20220713;11
21289,263;20220713;12
21603,563;20220713;13
21593,413;20220713;14
21448,238;20220713;15
21613,125;20220713;16
21541,088;20220713;17
21627,025;20220713;18
21454,45;20220713;19
21338,25;20220713;20
21295,8;20220713;21
20946,663;20220713;22
19710,088;20220713;23
18364,938;20220713;24
17202,175;20220714;1
16598,538;20220714;2
16215,438;20220714;3
16090,338;20220714;4
15845,288;20220714;5
16132,238;20220714;6
18247,675;20220714;7
20176,375;20220714;8
21393,65;20220714;9
21748,9;20220714;10
21573,925;20220714;11
21704,65;20220714;12
21653,425;20220714;13
21969,313;20220714;14
21779,075;20220714;15
21499,313;20220714;16
21919,375;20220714;17
21624,838;20220714;18
21398,95;20220714;19
21385,25;20220714;20
21302,3;20220714;21
20873,45;20220714;22
19714,45;20220714;23
18351,788;20220714;24
17060,138;20220715;1
16520;20220715;2
16120,863;20220715;3
16045,088;20220715;4
15898,913;20220715;5
16125,7;20220715;6
17974,713;20220715;7
19747,225;20220715;8
20840,6;20220715;9
20925,7;20220715;10
20662,3;20220715;11
21095,263;20220715;12
21301,963;20220715;13
20954,65;20220715;14
20572,85;20220715;15
20644,988;20220715;16
20509,925;20220715;17
20521,313;20220715;18
20437,063;20220715;19
20440,863;20220715;20
20433,475;20220715;21
20048,8;20220715;22
18909,038;20220715;23
17691,975;20220715;24
16491,263;20220716;1
15721,788;20220716;2
15345,625;20220716;3
15252,8;20220716;4
14902,225;20220716;5
14617,575;20220716;6
15367,013;20220716;7
16774,138;20220716;8
17936,575;20220716;9
18492,5;20220716;10
18672,9;20220716;11
18898,9;20220716;12
18908,663;20220716;13
